gamma_k,scale_mk_raw,AA_raw,AA,bailout_gdp,mean_debt_pct,welfare_gain_pct
0.64,64,273,0.273,1.74411855481945,15.6009257726955,-1.38157540454786
0.74,74,273,0.273,1.73892554411068,15.6065927663488,-0.340643128293376
0.84,84,258,0.258,1.71969379423636,16.6004700709041,-0.218188394777461
