Statistic,With_bailouts,No_bailouts
"Default frequency",0.600413507925569,0.323501033769814
"Sovereign spread mean",0.629041707499253,0.303859990253708
"Sovereign spread standard deviation",0.801947903806145,0.636519521164685
"corr(GDP, spread)",-0.27996361460066,-0.273598977869957
"Debt/GDP",14.9143150989695,25.1471548240886
"Bailout/GDP",1.81854808382505,0
"K/Assets",3.08980778766182,1.83970574944568
"Mean lending rate",0.00683488068507042,0.204779698273925
"Welfare gain of bailouts",-1.40111892813341,NaN
